frame_idx,is_warmup,decode_ms,yolo_ms,depth_ms,total_ms,num_detections,gpu_mem_alloc_mb,gpu_mem_reserved_mb
85,False,0.628,6.653,872.963,883.592,7,3874.7,12010.0
86,False,1.254,6.897,872.471,882.836,7,3875.6,12010.0
87,False,1.132,6.488,871.608,881.481,7,3874.7,12010.0
88,False,0.498,7.232,868.89,880.195,7,3874.7,12010.0
89,False,0.757,6.669,878.257,888.75,7,3874.7,12010.0
90,False,0.612,6.608,879.865,889.634,7,3874.7,12010.0
91,False,0.776,8.027,877.711,889.007,7,3875.6,12010.0
92,False,0.656,6.892,873.851,884.038,7,3874.7,12010.0
93,False,0.366,7.191,872.532,883.299,6,3874.7,12010.0
94,False,0.716,6.607,874.663,884.592,6,3874.7,12010.0
95,False,0.762,7.076,875.003,885.384,7,3874.7,12010.0
96,False,1.047,7.091,869.28,879.617,6,3874.7,12010.0
97,False,0.661,6.738,869.8,880.057,6,3875.1,12010.0
98,False,0.699,6.557,882.528,892.467,6,3874.7,12010.0
99,False,0.607,6.611,885.044,895.115,6,3874.7,12010.0
100,False,0.598,6.78,877.689,887.927,7,3874.7,12010.0
101,False,0.863,7.543,876.715,887.763,7,3875.6,12010.0
102,False,0.606,6.649,878.187,888.544,6,3874.7,12010.0
103,False,0.596,6.923,875.289,885.741,7,3874.7,12010.0
104,False,0.805,7.046,880.251,890.685,8,3874.7,12010.0
105,False,0.762,6.825,872.627,882.546,7,3874.7,12010.0
106,False,0.691,6.629,870.625,880.459,8,3875.6,12010.0
107,False,0.914,6.731,884.728,894.513,7,3874.7,12010.0
108,False,0.905,6.732,887.615,897.44,7,3874.7,12010.0
109,False,0.741,6.811,882.199,892.06,7,3874.7,12010.0
110,False,1.03,6.766,879.65,889.874,6,3874.7,12010.0
111,False,0.744,6.845,878.436,888.865,6,3874.7,12010.0
112,False,0.692,6.796,876.429,886.859,5,3875.1,12010.0
113,False,0.692,7.99,878.468,890.846,7,3874.7,12010.0
114,False,1.038,7.684,873.848,886.151,6,3874.7,12010.0
115,False,0.756,6.83,871.692,881.879,6,3874.7,12010.0
116,False,1.006,6.816,882.496,892.615,7,3875.6,12010.0
117,False,0.738,6.762,887.088,897.273,6,3874.7,12010.0
118,False,0.615,6.707,881.003,891.189,6,3874.7,12010.0
119,False,0.689,6.716,879.544,889.795,6,3874.7,12010.0
120,False,0.628,7.52,880.807,891.9,6,3874.7,12010.0
121,False,0.734,8.023,880.176,892.02,6,3875.6,12010.0
122,False,0.77,6.701,882.504,893.052,7,3874.7,12010.0
123,False,0.664,7.25,880.682,891.447,5,3874.7,12010.0
124,False,0.707,7.469,875.869,886.376,5,3874.7,12010.0
125,False,0.649,6.746,881.193,891.461,6,3874.7,12010.0
126,False,0.714,6.619,887.854,897.671,6,3874.7,12010.0
127,False,0.582,6.64,885.845,895.637,6,3875.1,12010.0
128,False,0.663,6.998,882.187,892.563,5,3874.7,12010.0
129,False,0.686,6.764,881.614,891.779,6,3874.7,12010.0
130,False,0.722,7.302,882.277,892.615,4,3874.7,12010.0
131,False,1.072,6.776,880.15,892.215,4,3875.6,12010.0
132,False,0.811,7.535,880.306,891.087,4,3874.7,12010.0
133,False,0.736,6.958,875.984,886.45,5,3874.7,12010.0
134,False,0.854,6.75,876.881,886.781,4,3874.7,12010.0
135,False,0.768,6.954,885.976,896.323,6,3874.7,12010.0
136,False,1.252,6.788,891.367,901.464,7,3875.6,12010.0
137,False,0.735,6.731,883.447,893.817,7,3874.7,12010.0
138,False,0.824,8.146,878.76,890.515,4,3874.7,12010.0
139,False,0.379,7.162,882.901,893.01,4,3874.7,12010.0
140,False,0.914,6.677,880.466,890.942,3,3874.7,12010.0
141,False,0.617,6.859,882.808,893.632,5,3874.7,12010.0
142,False,0.677,6.835,877.653,887.707,4,3875.1,12010.0
143,False,0.393,7.006,872.755,882.915,5,3874.7,12010.0
144,False,0.848,6.944,884.426,894.959,5,3874.7,12010.0
145,False,0.773,6.715,888.782,898.695,7,3874.7,12010.0
146,False,0.692,6.596,887.039,897.35,6,3875.6,12010.0
147,False,0.372,8.064,881.4,892.308,5,3874.7,12010.0
148,False,0.651,6.974,883.237,893.583,4,3874.7,12010.0
149,False,0.758,7.302,881.04,892.216,4,3874.7,12010.0
150,False,0.644,6.947,885.861,896.817,5,3874.7,12010.0
151,False,0.702,6.905,881.243,891.572,5,3875.6,12010.0
152,False,0.633,6.675,879.068,889.977,5,3874.7,12010.0
153,False,0.688,6.784,879.29,889.046,5,3874.7,12010.0
154,False,0.674,6.595,891.677,901.635,6,3874.7,12010.0
155,False,0.699,6.674,890.055,900.889,5,3874.7,12010.0
156,False,0.407,7.541,882.638,893.305,4,3874.7,12010.0
157,False,0.869,6.949,885.67,895.858,5,3875.1,12010.0
158,False,0.626,8.23,882.557,896.215,4,3874.7,12010.0
159,False,1.188,6.836,884.529,895.468,4,3874.7,12010.0
160,False,0.699,7.894,885.638,896.921,4,3874.7,12010.0
161,False,0.769,6.882,879.941,893.046,4,3875.6,12010.0
162,False,1.077,6.652,876.691,886.989,4,3874.7,12010.0
163,False,0.663,6.756,885.582,895.538,4,3874.7,12010.0
164,False,0.637,6.928,891.226,901.565,3,3874.7,12010.0
165,False,0.622,6.59,888.976,898.756,5,3874.7,12010.0
166,False,0.655,7.259,882.218,892.89,4,3875.6,12010.0
167,False,1.298,8.265,883.674,897.069,4,3874.7,12010.0
168,False,0.616,6.786,884.45,894.778,3,3874.7,12010.0
169,False,0.635,6.696,885.089,895.134,3,3874.7,12010.0
170,False,0.648,6.784,884.84,895.281,2,3874.7,12010.0
171,False,0.689,6.611,878.109,888.095,2,3874.7,12010.0
172,False,0.638,6.805,879.443,889.645,2,3875.1,12010.0
173,False,0.707,6.547,890.216,900.276,2,3874.7,12010.0
174,False,0.66,6.999,890.653,900.717,2,3874.7,12010.0
175,False,0.806,6.815,886.575,897.38,3,3874.7,12010.0
176,False,1.067,6.941,885.735,896.738,2,3875.6,12010.0
177,False,0.694,7.659,884.742,895.728,2,3874.7,12010.0
178,False,1.115,6.822,883.177,893.454,2,3874.7,12010.0
179,False,0.713,6.943,883.133,894.055,2,3874.7,12010.0
180,False,0.674,6.628,885.4,895.317,3,3874.7,12010.0
181,False,0.699,6.729,881.547,892.124,3,3875.6,12010.0
182,False,0.629,7.403,880.564,891.895,2,3874.7,12010.0
183,False,1.065,6.71,888.012,897.88,2,3874.7,12010.0
184,False,0.711,7.024,890.639,901.29,2,3874.7,12010.0
185,False,0.881,7.371,885.222,896.923,2,3874.7,12010.0
186,False,0.822,6.926,882.286,892.392,2,3874.7,12010.0
187,False,0.74,7.066,883.038,893.787,2,3875.1,12010.0
188,False,0.705,6.768,884.569,895.318,2,3874.7,12010.0
189,False,0.665,6.666,881.62,891.685,2,3874.7,12010.0
190,False,0.692,7.081,878.771,889.025,2,3874.7,12010.0
191,False,0.807,6.996,876.501,887.169,2,3875.6,12010.0
192,False,0.709,6.704,888.293,898.394,2,3874.7,12010.0
193,False,0.604,6.588,894.807,904.723,2,3874.7,12010.0
194,False,0.62,6.67,889.44,899.61,2,3874.7,12010.0
195,False,0.733,6.914,885.796,896.013,2,3874.7,12010.0
196,False,0.675,6.694,884.596,895.014,2,3875.6,12010.0
197,False,0.606,6.626,884.141,894.792,2,3874.7,12010.0
198,False,0.801,7.185,887.316,897.817,2,3874.7,12010.0
199,False,0.673,6.794,884.512,894.437,2,3874.7,12010.0
200,False,0.695,6.827,877.452,887.993,2,3874.7,12010.0
201,False,0.706,6.863,882.739,892.617,2,3874.7,12010.0
202,False,0.615,6.604,889.264,899.28,2,3875.1,12010.0
203,False,0.703,6.833,895.201,905.71,2,3874.7,12010.0
204,False,0.658,6.717,887.04,897.347,2,3874.7,12010.0
205,False,0.394,7.462,888.258,898.718,2,3874.7,12010.0
206,False,0.62,7.213,885.761,896.204,2,3875.6,12010.0
